Crankshaft,Overheating,Lubricant,Misfires,Piston,Starter,Decision
8.296,12.333,10.242,4.778,8.14,377.835,Minor
817.231,15.07,1249.033,4.843,7.806,3.778,Critical
7.354,11.929,12.492,3.232,717.916,3.382,Moderate
9.387,11.499,12.459,4.164,8.301,437.046,Moderate
8.052,14.746,11.962,5.337,7.055,483.639,Moderate
7.661,14.125,1331.18,4.654,8.573,3.475,Critical
7.486,11.741,11.73,4.749,8.54,345.849,Minor
8.565,15.154,10.917,5.087,995.69,432.335,Critical
9.79,12.599,12.109,523.138,8.1,371.332,Critical
8.456,14.176,10.603,4.564,8.124,437.677,Moderate
10.616,14.746,14.119,4.049,7.823,441.25,Moderate
7.619,12.768,11.771,4.951,9.229,4.612,Good
7.619,14.141,11.307,4.914,8.895,590.698,Moderate
8.857,14.832,10.998,4.856,10.096,332.185,Minor
9.08,10.89,10.148,6.332,9.229,4.035,Moderate
8.836,15.352,11.962,4.909,9.228,3.127,Minor
904.46,11.057,12.275,5.088,9.344,386.921,Critical
11.078,14.832,12.291,4.843,8.84,424.177,Minor
8.296,13.132,1259.375,6.072,8.663,411.092,Critical
8.104,13.389,1275.846,4.86,7.601,3.737,Critical
7.486,13.995,10.594,518.354,7.827,385.62,Critical
783.656,13.389,14.382,489.888,9.409,565.119,Critical
9.856,11.864,13.043,5.355,7.841,328.237,Minor
9.058,11.254,10.917,4.514,9.247,348.846,Minor
8.319,11.891,10.569,3.793,8.447,4.207,Good
8.29,14.101,12.361,4.554,9.237,378.604,Minor
8.974,15.382,1361.134,4.645,7.582,488.282,Critical
8.638,13.013,13.994,5.417,8.855,446.548,Moderate
7.945,14.887,11.1,4.757,7.234,320.807,Minor
7.808,13.152,12.092,451.727,10.344,4.05,Moderate
7.516,12.134,11.592,4.745,9.562,485.568,Moderate
9.056,14.055,1337.963,4.466,6.92,318.565,Critical
8.686,10.793,11.758,4.47,8.723,5.259,Good
8.33,10.182,980.068,4.645,8.905,484.864,Critical
9.796,1393.644,13.35,5.195,9.039,3.943,Critical
929.238,11.438,10.975,5.282,7.959,4.754,Critical
7.183,13.291,1249.186,5.188,9.542,441.769,Critical
7.945,12.078,11.09,5.871,8.129,4.584,Minor
7.429,13.983,11.91,567.312,8.313,3.345,Moderate
9.707,13.303,12.5,5.609,864.649,289.497,Critical
8.505,11.864,12.079,6.14,8.3,3.317,Good
10.35,13.809,8.986,4.562,8.365,348.54,Minor
9.045,12.092,12.54,4.792,7.147,420.306,Minor
8.33,14.751,13.62,4.937,7.89,4.818,Good
8.638,14.139,14.009,3.989,7.959,447.621,Moderate
9.436,10.326,11.728,4.787,8.265,3.901,Good
8.678,12.079,12.072,5.343,8.08,4.377,Good
886.33,14.851,10.569,4.952,7.216,4.117,Critical
8.567,11.352,12.49,4.283,8.776,464.984,Moderate
8.651,10.925,13.941,507.366,902.607,3.713,Critical
7.383,13.96,12.245,6.098,9.565,4.944,Good
8.159,15.711,11.378,4.723,10.243,4.891,Minor
7.514,14.043,13.443,4.391,8.54,500.298,Moderate
8.33,9.916,11.758,5.215,8.742,390.108,Minor
8.205,14.139,12.092,3.51,7.217,382.597,Minor
9.34,14.557,10.065,6.332,7.524,4.564,Good
8.766,12.656,12.402,5.532,10.031,3.896,Moderate
9.509,12.222,12.785,5.574,8.069,3.641,Good
8.191,14.631,1064.26,5.989,7.272,4.195,Critical
8.187,12.396,10.569,5.769,8.135,4.826,Good
9.096,16.725,9.344,4.787,8.136,403.463,Minor
8.571,11.827,14.836,4.403,8.45,4.111,Good
734.652,1124.333,10.83,5.188,8.484,468.262,Critical
10.278,14.288,1284.2,5.41,9.513,3.737,Critical
8.073,15.711,10.242,4.645,8.851,5.296,Good
8.351,13.078,10.622,3.276,8.749,3.062,Good
8.172,13.134,1347.937,3.714,897.956,3.826,Critical
8.172,11.929,1294.928,5.984,9.426,362.344,Critical
7.822,15.037,13.186,3.568,8.45,4.742,Good
8.639,12.795,11.1,3.88,8.277,3.181,Moderate
8.673,13.39,13.186,4.853,7.502,3.33,Good
9.276,13.48,11.1,4.602,9.875,448.579,Moderate
9.771,1112.201,9.394,5.172,877.322,428.24,Critical
7.85,12.832,10.48,4.778,7.566,3.208,Good
8.213,14.912,1421.002,4.342,8.221,518.079,Critical
9.208,12.093,11.931,5.194,9.225,3.186,Good
8.651,15.711,12.982,4.3,10.927,4.9,Minor
9.899,14.651,11.46,5.867,8.207,3.694,Good
10.862,13.599,12.922,5.571,9.225,3.328,Good
8.33,11.024,11.988,4.98,7.211,575.862,Moderate
9.08,14.651,13.041,5.371,11.135,3.889,Good
10.104,10.738,13.97,4.367,9.286,4.638,Good
9.309,1446.43,13.043,4.975,7.486,420.23,Critical
8.556,14.676,11.966,428.3,10.344,4.703,Minor
8.96,13.238,13.579,5.193,7.99,3.655,Good
8.181,13.554,12.275,3.898,9.217,3.492,Good
8.812,12.436,12.949,552.409,8.095,4.338,Moderate
9.482,11.109,12.291,4.711,9.024,4.297,Good
8.546,17.181,11.273,5.108,7.751,342.556,Minor
9.194,13.291,12.102,6.075,8.135,367.738,Minor
8.351,1444.889,12.922,4.768,9.164,517.228,Critical
8.186,14.912,11.661,4.562,9.184,4.575,Good
9.631,13.871,10.456,3.721,8.365,4.601,Good
7.486,10.618,1341.883,438.487,7.543,412.821,Critical
9.513,11.249,11.806,3.625,8.774,3.865,Good
9.103,12.896,10.975,4.06,9.225,4.197,Minor
8.327,17.181,14.84,3.714,8.863,3.333,Good
9.302,14.449,12.718,4.124,7.848,410.7,Minor
6.997,13.134,10.643,5.355,8.794,441.64,Moderate
8.386,13.242,11.457,5.518,6.937,4.481,Good
10.254,13.657,11.728,490.873,9,4.218,Moderate
7.859,11.959,11.558,5.492,8.13,4.287,Good
7.554,13.559,12.102,4.866,8.115,3.677,Good
8.565,14.3,1196.61,3.276,9.205,4.228,Critical
9.834,10.057,12.06,477.766,9.123,4.202,Moderate
9.485,13.197,1111.582,5.052,7.211,4.978,Critical
9.278,12.271,1146.047,3.568,9.225,3.727,Critical
7.691,13.964,9.394,5.331,9.817,3.725,Good
10.35,12.243,11.115,4.151,8.786,456.93,Moderate
9.283,13.554,13.419,560.895,8.129,3.879,Moderate
8.378,14.043,10.798,4.39,8.723,4.765,Good
9.509,16.214,10.975,5.159,10.428,3.896,Good
8.857,12.56,9.931,3.431,9.882,357.626,Minor
9.129,12.918,11.01,4.469,6.688,418.787,Good
9.763,11.67,13.616,5.826,8.895,378.16,Minor
10.479,14.121,10.19,4.966,7.81,4.717,Good
10.483,11.57,981.222,6.319,8.631,4.035,Critical
8.565,12.507,10.51,4.367,7.575,4.486,Good
878.35,12.503,11.593,5.493,9.632,378.999,Critical
7.865,12.904,12.079,4.219,9.224,4.104,Good
7.338,9.765,12.854,5.94,956.209,419.297,Critical
7.491,12.179,14.149,4.761,7.874,4.361,Good
9.607,14.3,12.922,4.806,8.54,4.9,Good
10.278,12.992,11.036,522.396,8.946,4.607,Moderate
9.021,12.314,12.291,327.589,9.623,5.1,Minor
9.675,13.748,12.376,3.844,9.611,407.082,Minor
10.205,14.558,10.065,4.879,7.64,357.201,Minor
9.236,11.679,11.115,4.329,8.861,3.761,Good
9.995,10.419,10.753,2.902,8.136,5.665,Good
8.877,12.926,861.158,457.821,7.477,4.855,Critical
7.865,13.042,1180.607,4.379,9.611,421.938,Critical
7.868,15.183,9.51,5.908,8.698,523.385,Moderate
9.387,15.93,12.275,573.825,7.29,4.616,Moderate
6.91,11.9,1251.763,4.379,7.81,4.05,Critical
8.695,1264.334,14.382,5.122,8.533,4.235,Critical
8.213,15.419,11.91,4.39,8.408,3.896,Good
8.857,10.463,12.854,5.028,8.492,4.683,Critical
7.228,12.085,13.616,5.088,7.756,3.942,Good
7.224,11.109,10.603,6.015,10.041,377.264,Minor
10.133,12.795,1355.159,4.367,8.834,3.707,Critical
9.257,13.199,11.497,4.94,9.188,448.69,Moderate
9.343,12.904,12.57,5.05,9.485,460.521,Moderate
10.284,1303.757,14.553,515.911,8.292,4.128,Critical
7.224,12.542,11.425,3.92,9.611,346.148,Minor
6.899,1264.334,12.785,415.464,6.937,4.062,Critical
8.778,12.968,1198.833,527.723,8.3,3.831,Critical
9.809,15.154,10.065,4.951,7.789,4.117,Good
7.859,12.917,12.758,4.778,10.473,441.25,Moderate
7.94,13.342,12.873,6.631,7.453,3.948,Good
10.214,13.306,13.35,4.888,8.245,511.4,Moderate
9.499,13.714,1224.908,4.174,7.846,402.106,Critical
9.104,14.507,11.425,4.375,6.937,327.505,Good
7.987,13.68,14.774,5.584,9.02,4.284,Good
8.638,1276.632,11.728,5.074,7.821,4.323,Critical
807.802,13.099,1037.069,5.701,6.688,421.938,Critical
9.432,12.092,13.191,4.888,9.016,4.718,Good
6.638,13.523,12.458,5.769,7.907,4.718,Good
7.837,12.595,13.321,5.277,8.749,3.856,Minor
8.901,12.596,9.862,4.879,8.292,3.856,Good
7.183,13.39,10.122,4.517,8.659,349.17,Minor
9.856,14.147,10.597,5.282,6.687,5.433,Good
8.872,12.939,1483.966,436.74,8.54,4.559,Minor
8.489,10.702,12.313,5.882,8.688,523.385,Moderate
8.651,14.264,11.177,546.309,9.032,277.628,Moderate
